ID                               | Building Name | Building Adress
4aa7039e14af4bdba4639e9f9a53f341 | EDUCAnet Praha | Roztylská 1860/1 
763c8624591a47109606f0d398c66675 | ITNetwork HQ | Antala Staška 34, Praha 4 
08266a57d2e44828a3bcaf83fde7bd46 | EDUCAnet Ostrava | mjr. Nováka 1455/34, 700 30 Ostrava-jih-Hrabůvka 
443abe9f73fb469999c02c67e093c892 | EDUCAnet Brno| Jánská 22, 602 00 Brno-střed 
